,zipcode,businesses,counts
2107,10474,Cigarette Retail Dealer,21
2141,10475,Cigarette Retail Dealer,17
2615,11001,Cigarette Retail Dealer,1
2652,11004,Cigarette Retail Dealer,8
2658,11005,Cigarette Retail Dealer,2
2702,11040,Cigarette Retail Dealer,1
2754,11101,Cigarette Retail Dealer,64
2782,11102,Cigarette Retail Dealer,38
2818,11103,Cigarette Retail Dealer,56
2831,11104,Cigarette Retail Dealer,36
2853,11105,Cigarette Retail Dealer,36
2894,11106,Cigarette Retail Dealer,52
2933,11201,Cigarette Retail Dealer,67
2956,11203,Cigarette Retail Dealer,65
2976,11204,Cigarette Retail Dealer,67
3008,11205,Cigarette Retail Dealer,55
3024,11206,Cigarette Retail Dealer,73
3042,11207,Cigarette Retail Dealer,121
3065,11208,Cigarette Retail Dealer,96
3081,11209,Cigarette Retail Dealer,77
3116,11210,Cigarette Retail Dealer,42
3157,11211,Cigarette Retail Dealer,108
3171,11212,Cigarette Retail Dealer,95
3199,11213,Cigarette Retail Dealer,54
3216,11214,Cigarette Retail Dealer,87
3257,11215,Cigarette Retail Dealer,70
3287,11216,Cigarette Retail Dealer,70
3321,11217,Cigarette Retail Dealer,54
3330,11218,Cigarette Retail Dealer,65
3373,11219,Cigarette Retail Dealer,53
3406,11220,Cigarette Retail Dealer,86
3415,11221,Cigarette Retail Dealer,98
3441,11222,Cigarette Retail Dealer,59
3482,11223,Cigarette Retail Dealer,90
3497,11224,Cigarette Retail Dealer,27
3534,11225,Cigarette Retail Dealer,57
3545,11226,Cigarette Retail Dealer,90
3579,11228,Cigarette Retail Dealer,42
3611,11229,Cigarette Retail Dealer,53
3643,11230,Cigarette Retail Dealer,46
3651,11231,Cigarette Retail Dealer,40
3685,11232,Cigarette Retail Dealer,43
3706,11233,Cigarette Retail Dealer,81
3755,11234,Cigarette Retail Dealer,58
3784,11235,Cigarette Retail Dealer,60
3805,11236,Cigarette Retail Dealer,60
3816,11237,Cigarette Retail Dealer,80
3864,11238,Cigarette Retail Dealer,61
3877,11239,Cigarette Retail Dealer,2
3881,11241,Cigarette Retail Dealer,1
3886,11242,Cigarette Retail Dealer,1
3907,11249,Cigarette Retail Dealer,10
3931,11354,Cigarette Retail Dealer,52
3970,11355,Cigarette Retail Dealer,36
3994,11356,Cigarette Retail Dealer,19
4006,11357,Cigarette Retail Dealer,22
4032,11358,Cigarette Retail Dealer,31
4051,11360,Cigarette Retail Dealer,4
4062,11361,Cigarette Retail Dealer,24
4093,11362,Cigarette Retail Dealer,8
4103,11363,Cigarette Retail Dealer,2
4118,11364,Cigarette Retail Dealer,15
4148,11365,Cigarette Retail Dealer,18
4160,11366,Cigarette Retail Dealer,19
4180,11367,Cigarette Retail Dealer,22
4201,11368,Cigarette Retail Dealer,113
4237,11369,Cigarette Retail Dealer,19
4243,11370,Cigarette Retail Dealer,15
4261,11371,Cigarette Retail Dealer,6
4280,11372,Cigarette Retail Dealer,70
4312,11373,Cigarette Retail Dealer,71
4332,11374,Cigarette Retail Dealer,33
4355,11375,Cigarette Retail Dealer,50
4400,11377,Cigarette Retail Dealer,94
4441,11378,Cigarette Retail Dealer,38
4461,11379,Cigarette Retail Dealer,27
4469,11385,Cigarette Retail Dealer,152
4509,11411,Cigarette Retail Dealer,14
4516,11412,Cigarette Retail Dealer,34
4540,11413,Cigarette Retail Dealer,24
4548,11414,Cigarette Retail Dealer,18
4577,11415,Cigarette Retail Dealer,13
4590,11416,Cigarette Retail Dealer,23
4620,11417,Cigarette Retail Dealer,33
4657,11418,Cigarette Retail Dealer,44
4662,11419,Cigarette Retail Dealer,43
4701,11420,Cigarette Retail Dealer,38
4709,11421,Cigarette Retail Dealer,38
4742,11422,Cigarette Retail Dealer,16
4748,11423,Cigarette Retail Dealer,13
4774,11426,Cigarette Retail Dealer,6
4782,11427,Cigarette Retail Dealer,8
4813,11428,Cigarette Retail Dealer,17
4818,11429,Cigarette Retail Dealer,22
4839,11430,Cigarette Retail Dealer,17
4861,11432,Cigarette Retail Dealer,71
4874,11433,Cigarette Retail Dealer,28
4910,11434,Cigarette Retail Dealer,58
4952,11435,Cigarette Retail Dealer,58
4967,11436,Cigarette Retail Dealer,17
5244,11691,Cigarette Retail Dealer,31
5264,11692,Cigarette Retail Dealer,7
5270,11693,Cigarette Retail Dealer,13
5282,11694,Cigarette Retail Dealer,23
5301,11697,Cigarette Retail Dealer,1
